bando,piattaforma,commento_p,target
e di nuovo sport,bandi online,dato massimo punteggio stato help linea singola voce completa compatibilità safari complesso ottimo software migliorerei rendicontazione automatizzando alcuni campi proponendo essi esempio importo previsto confermare evitando ripeterlo volte eventuali errori digitazione altro aspetto migliorare indicazione eventuali errori fase registrazione giustificativo non non_passaggio non_fase non_successiva,1
garanziagiovanifaseii,bandi online,incontrato moltissima difficolta capire doveva inserire domanda pensavo studio poter inserire domanda clienti dopo aver chiesto call center stato detto profilare azienda arrivati fine stato detto occorreva firma digitale dichiarante impiegato circa due settimane inviare perche linee intasatissime riesce parlare solo dopo 18 30 operatori non non_danno non_sempre non_risposte,0
contributi asd ssd linea 1 e linea 2 2017,siage,procedura inserimento dati stata immediata velocela procedura rendicontazione contiene continue perdite tempo passaggi complessi esempio cliccare due sotto campi diversi collegare domanda voci spesa quietanze meglio ciascun giustificativo inserire medesima schermata semplificata richiesta dati assolutamente inutili impensabile rendere obbligatori campi iva partita iva quando moltissimi casi vengono inseriti giustificativi persone fisiche senza partita iva dovrebbero essere dati opzionali base giustificativo viene inserito,0
asd 2019,bandi online,qualche riferimento troppo leggi decreti etc richiedono conoscenze specifiche form inserimento dati rendicontazione non non_tengono non_conto non_specificità non_campi non_obbligatori non_quando non non_devono non_esserlo,0
bando accumulo anno 2017,siage,sommato riesce seguire intera procedura senza troppi intoppi dovrebbe essere però possibile cancellare bandi quali dato avvio magari errore invece rimangono lista inservibili,1
faber iii ed,bandi online,procedura complessa inserire domanda piattaforma non non_sempre non_attiva non_ammissione non_contributo non_arrivata non_ridosso non_scadenza non_rendicontazione,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,poche informazioni funziona ancora passaparola troppa burocrazia,0
proposte di promozione della musica 2018,bandi online,credo piattaforma potrebbe essere user responsive dovrebbe essere rivista segnalazione campi obbligatori compilato campoi segnalati obbligatori dunque poi arrivare termine inserimento giustificativi scoprire dava errore non non_aver non_compilato non_alcuni non_campi non_dunque non_pur non non_contrassegnati non_obbligatori non_potrebbe non_essere non_utile non_errore non_venga non_segnalato non_mano non_meno non_compila non non_solo non_volta non_arrivati non_chiudere non_grazie,0
archemisuraa,bandi online,bandi online funzionale solo pratiche pochi giustificativi caricamento estremamente lento macchinoso senza contare paio bug alquanto scomodi impossibilità caricare fornitori codice fiscale numerico testimoniato varie mail collaboratori peggior bando assoluto rendicontare stato sicuramente bando archè manuale rendicontazione uscito ritardo basava vecchia versione bandi online abbinamento quietanza voce spesa corretta apre sorta finestra non non_pagina non_rendendo non_estremamente non_scomoda non_visualizzazione non_compilazione non_caricamento non_comunque non_circa non_1 non_minuto non_quietanza non_fase non_invio non_domande non_essa non_rivelato non_numerose non_perplessità non_causa non_instabilità non_piattaforma non_inoltre non_spesso non_volentieri non_vengono non_richiesti non_informazioni non_aggiuntive non_azienda non non_riportate non_testo non_bando non_direi non_ampio non_margine non_miglioramento non_disponibili non_ulteriori non_suggerimenti non_bandi non_r non_impresa non_it,0
alvia,bandi online,linee guida rendicontazione pubblicate molti mesi dopo bando comunque dopo inoltrato domanda partecipazione regole non non_coerenti non_promesso non_bando non_tempistiche non_approvazione non_erogazione non_finanziamento non_troppo non_lunghevincolo non_utilizzare non_finanziamento non_realizzare non_investimento non_poi non_pratica non_richiesto non_anticipo non_quasi non_totale non_liquidità non_propria non_somme non_necessarie non_effettuarlo,0
alvia,bandi online,bando molti richiami normativi portale non non_immediato non non_consente non_visualizzazione non_efficace non_informazioni non_layout non_troppo non_stretto non_rispetto non_spazio non_disponibile non_schermo non_sezioni non_compilabili non_solo non_già non_compilate non_precedenti non_dati non_anagrafici non_richiesti non_rendicontazione non_fornitori non non_richiamabili non_ogni non_volta non_vanno non_compilate non_sezioni,0
autoimprenditorialità -articolo43,bandi online,bandi regionali norma molto dettagliati precisi problema portali non non_funzionano non_modo non_adeguato,0
bando accumulo anno 2017,siage,troppo complicato lento caricare domanda,0
turismoeattrattivita,siage,molto chiaro obbiettivo raggiungere stanziamento criteri valutazione,1
innodrivermisuraa,bandi online,non non_presenta non_problemi non_rilevanti non_richiede non_molta non_attenzione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,non non_scritti non_documenti non_presentare non_marca non_bollo,1
smaltimento amianto anno 2019,bandi online,allegati richiesti fase rendicontazione inizio poi vengono richiesti fine,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,dettagliato semplice interpretazione erogazione contributi tempi brevi,1
bando accumulo anno 2017,siage,sistema ben fatto ordinato sezioni form compilare purtroppo caratteristiche positive completamente annullate tempi risposta inadeguati rendono sito inutilizzabile esperienza complessiva insoddisfacente inadeguato,0
circuiti lombardia spettacoli dal vivo protocolli triennali 2017,siage,risponde bene esigenze,1
bando pro loco,siage,buona,1
dotazioni tecnico strumentali,bandi online,laborioso fase rendicontazione,0
e di nuovo sport,bandi online,non non_visibile non_fin non_subito non_richiesta non_totale non_documenti non_inserire non_difficoltà non_dover non_riempire non_parametri non_prima non_pagina non_poter non_visualizzare non_richieste non_successive non_potesse non_salvare non_bozza non_contenente non_informazioni non_poter non_visualizzare non_tutte non_pagine non_poter non_vedere non_documenti non_mancanti non_maggior non_aiuto,0
turismoeattrattivita,siage,sola gestione voto ottimo bando stesso ottimo parere non non_capito non_motivazioni non_stata non_differenziata non_piu non_agevolata non_valchiavenna non_resto non_lombardia non_inoltre non non_ritengo non_ammissibile non_finanziare non_b non_b non_concorrenza non_sleale non_albergatori non_tanto non_meno non_agriturismi non_gia non_nati non_grazie non_finanziamenti non_pubblici non_qui non_fermo non_comunque non_complimenti non_iniziativa non_visto non non_ricordo non_quando non_stato non_pubblicato non_utimo non_contributo non_strutture non_ricettive,0
faber iii ed,bandi online,informativa relativa apertura bandi insufficiente,0
bando accumulo anno 2017,siage,fino ora molto ben gestito facilità interfaccia piattaforma age tempi risposta buoni,1
faber 2020,bandi online,procedura inserimento complicata non non_parliamo non_rendicontazione non_problemi non_perchè non_domanda non_stata non_inserita non_dati non_amministratore non_unico non_rappresentante non_legale non_sede non_rendicontazione non_invece non_dati non_maggior non_azionista non non_amministratore non_unico non_messo non_tre non_giorni non_infinite non_attese non_telefono non_poter non_sbloccare non_procedura,0
bando accumulo anno 2017,bandi online,é stata buona,1
promozione culturale legge 9 2017,siage,rendicontazione vessazione richiedono volte dati già inseriti allegati obbligatori non non_chiaro non_niente non_deve non_operare non_inserimento non_salvataggio non_giustificativi non_quietanze non_solo non_fine non_vengono non_evidenziati non_errori non_alcuni non non_affatto non_errori non_buchi non_sistema non_stesso non non_riconosce non_distinti non_giustificativi non_diversi non_solo non_portano non_stessa non_data,0
rinnova autoveicoli,bandi online,facile compilazione linguaggio utilizzato talvolta non non_permette non_comprendere non_meglio non_richieste,1
bando accumulo anno 2017,bandi online,non non_sempre non_chiaro non_richiesta non_documenti non_richiesti,1
promozione educativa e culturale 2018 2020,bandi online,difficoltà riguardo procedura firma rendiconto poichè sistema riproponeva vecchio legale rappresentante ovvero colui firmato richiesta contributo luogo nuovo legale rappresentante nonostante esso stato comunicato regolarmente già presente anagrafica problema riscontrato bando triennale promozione culturale,0
bando accumulo anno 2017,siage,troppe scartofie capisco allegare documenti così logorante,0
alvia,bandi online,troppe lunghe tempistiche,0
turismoeattrattivita,siage,importanti difficolta comunicazioni call center tecnico non non_spesso non_risposte non_domande,0
e di nuovo sport,bandi online,comunicazione frammentaria poco tempestiva,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,troppi passaggi burocratici sbrigare impegnativa medica valutazione audiologica ipoacusia visita otorino bisogna portare tutta documentazione comprese certificato irriparabilità smarrimento furto esame audiometrico precedente consegna moduli presso centro protesi patto terapeutico modello 03 dichiarazione irriparabilità timbrata ospedale tornare otorino fare collaudo protesi portando nuovamente documentazione modello 03 allegato 4 rischio perdere tutta parte documentazione durante viaggi posto altro dover fare capo entro tempi previsti bando considerare inoltre capita medici non non_sanno non_esattamente non_compilare non_documentazione non_fornirci non_servirebbe non_pratica non_snella non_basterebbe non_portare non_documentazione non_centro non_protesi non_esami non_audiometrici non_verbale non_d non_invalidità non_quali non_provvederanno non_aggiungere non_moduli non_mancanti non_modello non_03 non_allegato non_4 non_certificato non_irriparabilità non_inviare non_domanda non_documenti non_regione non_gran non_risparmio non_tempo non_stress,0
turismoeattrattivita,siage,fase variazioni voci categoria generale non non_chiara,1
e di nuovo sport,bandi online,serve chiarezza testo bando dati fornire risposta parte assistenza,0
rinnova autoveicoli,bandi online,semplice intuitivo,1
bando accumulo anno 2017,bandi online,quantunque inserire documentazione fatture quietanze bisogna scannerizzare 4 fogli non non_attrezzati non_x non_sistema non_poi non_sapere non_interpretare non_esattezza non_documenti non_necessari non_comunque non_penso non_essere non_riuscito non_ora non_aspetto non_conferma non_grazie non_paruzzi non_alfonso,1
garanziagiovanifaseii,bandi online,tempi lunghi validazione profili,0
bando accumulo anno 2017,siage,bando stato sospeso pochi minuti prima inizio non non_stato non_comunicato non_chiaramente non_tempestivamente non_ritardo non_documenti non_richiesti non_ve non_alcuni non_produzione non non_dipende non_soggetto non_richiedente non_esempio non_certificazione non_parte non_enel non_solo non_continua non_sollecitazione non_prodotto non_tempi non_minimi non_prima non_chiusura non_bando non non_prodotti non non_stato non_possibile non_chiudere non_procedura non_perso non_contributo,0
faber ii ed,bandi online,può sempre migliorare,1
alvia,bandi online,call desk interpellati dichiarati incompetenti contenuti nè stato possibile trovare altro interlocutore manuale d uso fino qualche tempo fa almeno non non_scaricabile,0
biblioteche 2016,siage,servizi assistenza riferisco numero verde assistenza on line tempi attesa risposta troppo lunghi spesso capitato ricevere risposta seguito segnalazione quando bando già chiuso caso estremo riguarda bandi sportello maggior parte casi inoltre persone call center impreparate risolvere problemi richiesti compilazione on line propongo spostare tasto elimina stato posizionato sotto ogni modulo può erroneamente essere selezionato conseguenza disastrosa senza neanche richiesta conferma voler eliminare progetto eliminare intera traccia manuali d uso predisposti maniera chiara efficiente rispecchiano quasi sempre fedelmente impostazione effettiva sito dovrebbe dare possibilità poter passare modulo successivo senza necessariamente aver completato fase precedente modo poter effettivamente verificare richieste dati necessari compilazione domanda faq dovrebbero essere aggiornate frequentemente,0
